Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
GJ 625 b,,246.3557854,54.3033625,,,,,,
GJ 649 b,,254.5363221,25.7419719,,,,,,
GJ 674 b,,262.1700476,-46.8989826,,,,,,
GJ 676 A b,,262.5448903,-51.6377777,,,,,,
GJ 676 A c,,262.5448903,-51.6377777,,,,,,
GJ 676 A d,,262.5448903,-51.6377777,,,,,,
GJ 676 A e,,262.5448903,-51.6377777,,,,,,
GJ 685 b,,263.8960378,61.6793482,,,,,,
GJ 687 b,,264.1041731,68.3336741,,,,,,
GJ 687 c,,264.1041731,68.3336741,,,,,,
GJ 720 A b,,278.8294172,45.7456038,,,,,,
GJ 724 b,,280.238365,-13.3824997,,,,,,
GJ 740 b,,284.4997178,5.902867,,,,,,
GJ 806 b,,311.2697002,44.5002351,,,,,,
GJ 806 c,,311.2697002,44.5002351,,,,,,
GJ 832 b,,323.3912616,-49.0125169,,,,,,
GJ 849 b,,332.4229938,-4.6408317,,,,,,
GJ 849 c,,332.4229938,-4.6408317,,,,,,
GJ 876 b,,343.3239737,-14.2665958,,,,,,
GJ 876 c,,343.3239737,-14.2665958,,,,,,
GJ 876 d,,343.3239737,-14.2665958,,,,,,
GJ 876 e,,343.3239737,-14.2665958,,,,,,
GJ 887 b,,346.4668274,-35.8530693,,,,,,
GJ 887 c,,346.4668274,-35.8530693,,,,,,
GJ 9066 c,,30.0588307,13.0443172,,,,,,
GJ 96 b,,35.5624031,47.8802075,,,,,,
GJ 9689 b,,303.467731,13.3888921,,,,,,
GJ 9827 b,,351.7717763,-1.2853435,,,,,,
GJ 9827 c,,351.7717763,-1.2853435,,,,,,
GJ 9827 d,,351.7717763,-1.2853435,,,,,,
Gl 378 b,,150.5865513,48.0824515,,,,,,
Gl 49 b,,15.6687321,62.3454386,,,,,,
Gl 686 b,,264.4764878,18.5959509,,,,,,
Gliese 12 b,,3.9579137,13.5576175,,,,,,
HAT-P-11 b,,297.7101763,48.0818635,,,,,,
HAT-P-12 b,,209.3886452,43.49331,,,,,,
HAT-P-54 b,,99.8979924,25.4824005,,,,,,
HAT-P-68 b,,118.4831501,23.9382192,,,,,,
HATS-47 b,,287.4844021,-49.6649424,,,,,,
HATS-6 b,,88.1468079,-19.0316268,,,,,,
HATS-71 b,,15.5518893,-61.7561333,,,,,,
HATS-72 b,,339.0258401,-17.0003046,,,,,,
HD 10180 c,,24.4731133,-60.5114881,,,,,,
HD 10180 d,,24.4731133,-60.5114881,,,,,,
HD 10180 e,,24.4731133,-60.5114881,,,,,,
HD 10180 f,,24.4731133,-60.5114881,,,,,,
HD 10180 g,,24.4731133,-60.5114881,,,,,,
HD 10180 h,,24.4731133,-60.5114881,,,,,,
HD 102365 b,,176.6208003,-40.4986211,,,,,,
HD 103949 b,,179.5479558,-23.9241221,,,,,,
HD 104067 b,,179.7923543,-20.3556058,,,,,,
HD 104067 c,,179.7923543,-20.3556058,,,,,,
HD 106315 b,,183.4724742,-0.3934357,,,,,,
HD 106315 c,,183.4724742,-0.3934357,,,,,,
HD 108236 b,,186.5740627,-51.3630519,,,,,,
HD 108236 c,,186.5740627,-51.3630519,,,,,,
HD 108236 d,,186.5740627,-51.3630519,,,,,,
HD 108236 e,,186.5740627,-51.3630519,,,,,,
HD 108236 f,,186.5740627,-51.3630519,,,,,,
HD 110067 b,,189.8392243,20.0273377,,,,,,
HD 110067 d,,189.8392243,20.0273377,,,,,,
HD 110067 f,,189.8392243,20.0273377,,,,,,
HD 110113 b,,190.0365636,-44.3120777,,,,,,
HD 110113 c,,190.0365636,-44.3120777,,,,,,
HD 111232 b,,192.2159553,-68.4246679,,,,,,
HD 111232 c,,192.2159553,-68.4246679,,,,,,
HD 113538 b,,196.233933,-52.4463502,,,,,,
HD 113538 c,,196.233933,-52.4463502,,,,,,
HD 115404 A b,,199.2155793,17.0160384,,,,,,
HD 115404 A c,,199.2155793,17.0160384,,,,,,
HD 11755 b,,29.707836,73.1521372,,,,,,
HD 11964 c,,29.2884252,-10.2434693,,,,,,
HD 125271 b,,216.6474037,-81.4542756,,,,,,
HD 125595 b,,215.3434326,-40.3942443,,,,,,
HD 125612 c,,215.2227183,-17.4818147,,,,,,
HD 12648 b,,34.7480718,85.7365329,,,,,,
HD 127506 b,,217.6848544,35.4546059,,,,,,
HD 133131 A b,,225.8984524,-27.8431369,,,,,,
HD 133131 A c,,225.8984524,-27.8431369,,,,,,
HD 133131 B b,,225.8999745,-27.8415947,,,,,,
HD 134606 b,,228.8103897,-70.5203328,,,,,,
HD 134606 c,,228.8103897,-70.5203328,,,,,,
HD 134606 d,,228.8103897,-70.5203328,,,,,,
HD 134606 e,,228.8103897,-70.5203328,,,,,,
HD 134606 f,,228.8103897,-70.5203328,,,,,,
HD 135694 b,,227.8678636,71.8412965,,,,,,
HD 136352 b,,230.4401147,-48.3188174,,,,,,
HD 136352 c,,230.4401147,-48.3188174,,,,,,
HD 136352 d,,230.4401147,-48.3188174,,,,,,
HD 137496 b,,231.7420543,-16.5090014,,,,,,
HD 13808 b,,33.1780708,-53.7437591,,,,,,
HD 13808 c,,33.1780708,-53.7437591,,,,,,
HD 140901 b,,236.8689866,-37.9172333,,,,,,
HD 1461 b,,4.6762645,-8.0536206,,,,,,
HD 1461 c,,4.6762645,-8.0536206,,,,,,
HD 147379 b,,244.1725686,67.2392041,,,,,,
HD 152843 b,,253.7848853,20.491524,,,,,,
HD 15337 b,,36.8678846,-27.6361171,,,,,,
HD 15337 c,,36.8678846,-27.6361171,,,,,,
HD 155358 b,,257.3930947,33.3549277,,,,,,
