Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
K2-252 b,,182.3663818,-8.3096141,,,,,,
K2-254 b,,185.5507926,-4.7172908,,,,,,
K2-254 c,,185.5507926,-4.7172908,,,,,,
K2-255 b,,189.9128532,-3.3705631,,,,,,
K2-257 b,,188.278284,-1.9532879,,,,,,
K2-26 b,,94.2064312,24.5958335,,,,,,
K2-263 b,,129.6821253,15.6806039,,,,,,
K2-264 b,,131.3583524,19.698401,,,,,,
K2-264 c,,131.3583524,19.698401,,,,,,
K2-265 b,,342.0316493,-14.4947789,,,,,,
K2-266 b,,157.9356855,0.9372782,,,,,,
K2-266 c,,157.9356855,0.9372782,,,,,,
K2-266 d,,157.9356855,0.9372782,,,,,,
K2-266 e,,157.9356855,0.9372782,,,,,,
K2-268 b,,133.7094899,11.8482712,,,,,,
K2-268 c,,133.7094899,11.8482712,,,,,,
K2-270 b,,131.2665588,13.5497322,,,,,,
K2-270 c,,131.2665588,13.5497322,,,,,,
K2-271 b,,125.2239144,16.0907958,,,,,,
K2-272 b,,132.6211743,17.5423852,,,,,,
K2-274 b,,129.2823699,20.3992512,,,,,,
K2-275 b,,132.1698795,20.4550162,,,,,,
K2-275 c,,132.1698795,20.4550162,,,,,,
K2-276 b,,125.9528309,22.6339399,,,,,,
K2-279 b,,204.7792935,-6.0417592,,,,,,
K2-28 b,,335.6233145,-7.9563525,,,,,,
K2-282 b,,13.4321524,7.9952914,,,,,,
K2-284 b,,79.1407971,20.2549034,,,,,,
K2-285 b,,349.3843458,1.3001522,,,,,,
K2-285 c,,349.3843458,1.3001522,,,,,,
K2-286 b,,233.3698192,-16.7737113,,,,,,
K2-288 B b,,55.4442857,18.2684913,,,,,,
K2-291 b,,76.44594,21.548199,,,,,,
K2-3 b,,172.3353708,-1.4551364,,,,,,
K2-3 c,,172.3353708,-1.4551364,,,,,,
K2-3 d,,172.3353708,-1.4551364,,,,,,
K2-32 b,,252.426008,-19.5430504,,,,,,
K2-32 c,,252.426008,-19.5430504,,,,,,
K2-32 d,,252.426008,-19.5430504,,,,,,
K2-32 e,,252.426008,-19.5430504,,,,,,
K2-35 b,,170.1031027,1.2858679,,,,,,
K2-35 c,,170.1031027,1.2858679,,,,,,
K2-355 b,,124.6426189,13.5027816,,,,,,
K2-356 b,,128.3219134,13.6613758,,,,,,
K2-358 b,,133.8081054,18.9497263,,,,,,
K2-36 b,,169.4490102,3.8665038,,,,,,
K2-36 c,,169.4490102,3.8665038,,,,,,
K2-37 b,,243.4509662,-24.7870527,,,,,,
K2-37 c,,243.4509662,-24.7870527,,,,,,
K2-37 d,,243.4509662,-24.7870527,,,,,,
K2-4 b,,174.7455392,-3.9055746,,,,,,
K2-413 b,,353.4175668,-7.6120272,,,,,,
K2-413 c,,353.4175668,-7.6120272,,,,,,
K2-414 b,,351.6361913,-4.6066569,,,,,,
K2-414 c,,351.6361913,-4.6066569,,,,,,
K2-419 A b,,135.0194934,13.2737056,,,,,,
K2-46 b,,174.2662454,-0.90721,,,,,,
K2-47 b,,168.5825696,2.7805614,,,,,,
K2-48 b,,176.1233077,3.2723812,,,,,,
K2-5 b,,169.3034598,-1.8778254,,,,,,
K2-5 c,,169.3034598,-1.8778254,,,,,,
K2-50 b,,169.483654,5.988289,,,,,,
K2-53 b,,244.1419684,-20.4005984,,,,,,
K2-58 b,,333.8218395,-14.049857,,,,,,
K2-58 c,,333.8218395,-14.049857,,,,,,
K2-58 d,,333.8218395,-14.049857,,,,,,
K2-6 b,,178.1921152,-1.1984418,,,,,,
K2-62 b,,334.3645089,-12.1874776,,,,,,
K2-62 c,,334.3645089,-12.1874776,,,,,,
K2-65 b,,333.2125206,-10.9261373,,,,,,
K2-68 b,,334.0195539,-10.5673649,,,,,,
K2-74 b,,339.9192984,-8.7145697,,,,,,
K2-8 b,,169.7935178,-0.2844389,,,,,,
K2-8 c,,169.7935178,-0.2844389,,,,,,
K2-80 b,,59.037486,13.5590288,,,,,,
K2-80 c,,59.037486,13.5590288,,,,,,
K2-85 b,,59.464829,18.4649505,,,,,,
K2-86 b,,51.5531053,18.6355718,,,,,,
K2-9 b,,176.263724,0.0054085,,,,,,
K2-90 b,,59.1527391,22.4724517,,,,,,
K2-90 c,,59.1527391,22.4724517,,,,,,
K2-95 b,,129.3625717,18.9766197,,,,,,
KOI-142 b,,,,,,,,,
KOI-1831 d,,,,,,,,,
KOI-1833 d,,,,,,,,,
KOI-2513.01,,,,,,,,,
KOI-3503 b,,,,,,,,,
KOI-3503 c,,,,,,,,,
KOI-351 b,,,,,,,,,
KOI-351 c,,,,,,,,,
KOI-351 d,,,,,,,,,
KOI-351 e,,,,,,,,,
KOI-351 f,,,,,,,,,
KOI-351 g,,,,,,,,,
KOI-351 h,,,,,,,,,
KOI-7368 b,,,,,,,,,
KOI-7913 b,,,,,,,,,
KOI-94 b,,,,,,,,,
KOI-94 c,,,,,,,,,
KOI-984 b,,,,,,,,,
Kapteyn c,,77.9586613,-45.0430198,,,,,,
Kepler-10 b,,,,,,,,,
Kepler-10 c,,,,,,,,,
Kepler-10 d,,285.679298,50.2414842,,,,,,
Kepler-100 b,,,,,,,,,
Kepler-100 c,,,,,,,,,
Kepler-100 d,,,,,,,,,
Kepler-100 e,,291.3861294,41.9901394,,,,,,
Kepler-1001 b,,,,,,,,,
Kepler-1001 c,,,,,,,,,
Kepler-1006 b,,,,,,,,,
Kepler-1007 b,,,,,,,,,
Kepler-1008 b,,,,,,,,,
Kepler-1009 b,,,,,,,,,
Kepler-1010 b,,,,,,,,,
Kepler-1012 b,,,,,,,,,
Kepler-1013 b,,,,,,,,,
Kepler-1014 b,,,,,,,,,
Kepler-1019 b,,,,,,,,,
Kepler-102 b,,,,,,,,,
Kepler-102 c,,,,,,,,,
Kepler-102 d,,,,,,,,,
Kepler-102 e,,,,,,,,,
Kepler-102 f,,,,,,,,,
Kepler-1020 b,,,,,,,,,
Kepler-1022 b,,,,,,,,,
Kepler-1026 b,,,,,,,,,
Kepler-1027 b,,,,,,,,,
Kepler-1028 b,,,,,,,,,
Kepler-1029 b,,,,,,,,,
Kepler-1030 b,,,,,,,,,
Kepler-1032 b,,,,,,,,,
Kepler-1034 b,,,,,,,,,
Kepler-1037 b,,,,,,,,,
Kepler-1038 b,,,,,,,,,
Kepler-1038 c,,,,,,,,,
Kepler-1039 b,,,,,,,,,
Kepler-104 b,,,,,,,,,
Kepler-104 c,,,,,,,,,
Kepler-104 d,,,,,,,,,
Kepler-1042 b,,,,,,,,,
Kepler-1048 b,,,,,,,,,
Kepler-1049 b,,,,,,,,,
Kepler-105 c,,,,,,,,,
Kepler-1052 c,,,,,,,,,
Kepler-1053 b,,,,,,,,,
Kepler-1055 b,,,,,,,,,
Kepler-1058 b,,,,,,,,,
Kepler-1059 b,,,,,,,,,
Kepler-106 c,,,,,,,,,
Kepler-106 e,,,,,,,,,
Kepler-1062 b,,,,,,,,,
Kepler-1064 b,,,,,,,,,
Kepler-1065 c,,,,,,,,,
Kepler-1067 b,,,,,,,,,
Kepler-107 b,,,,,,,,,
Kepler-107 c,,,,,,,,,
Kepler-107 d,,,,,,,,,
Kepler-1073 b,,,,,,,,,
Kepler-1073 c,,,,,,,,,
Kepler-1073 d,,,,,,,,,
Kepler-1074 b,,,,,,,,,
Kepler-1075 b,,,,,,,,,
Kepler-1076 b,,,,,,,,,
Kepler-1081 b,,,,,,,,,
Kepler-1083 b,,,,,,,,,
Kepler-1086 b,,,,,,,,,
Kepler-1086 c,,,,,,,,,
Kepler-1087 b,,,,,,,,,
Kepler-1089 b,,,,,,,,,
Kepler-1090 b,,,,,,,,,
Kepler-1095 b,,,,,,,,,
Kepler-1096 b,,,,,,,,,
Kepler-1097 b,,,,,,,,,
Kepler-11 b,,,,,,,,,
Kepler-11 c,,,,,,,,,
Kepler-11 d,,,,,,,,,
Kepler-11 e,,,,,,,,,
Kepler-11 f,,,,,,,,,
Kepler-11 g,,,,,,,,,
Kepler-110 b,,,,,,,,,
Kepler-110 c,,,,,,,,,
Kepler-1105 b,,,,,,,,,
Kepler-1107 b,,,,,,,,,
Kepler-1108 b,,,,,,,,,
Kepler-1110 b,,,,,,,,,
Kepler-1114 b,,,,,,,,,
Kepler-112 b,,,,,,,,,
Kepler-112 c,,,,,,,,,
Kepler-1120 b,,,,,,,,,
Kepler-1124 b,,,,,,,,,
Kepler-1126 b,,,,,,,,,
Kepler-1126 c,,,,,,,,,
Kepler-113 b,,,,,,,,,
Kepler-113 c,,,,,,,,,
Kepler-1130 b,,,,,,,,,
Kepler-1130 c,,,,,,,,,
Kepler-1130 d,,,,,,,,,
Kepler-1134 b,,,,,,,,,
Kepler-1136 b,,,,,,,,,
Kepler-114 b,,,,,,,,,
Kepler-114 c,,,,,,,,,
Kepler-114 d,,,,,,,,,
Kepler-1140 b,,,,,,,,,
Kepler-1143 b,,,,,,,,,
Kepler-1143 c,,,,,,,,,
Kepler-1145 b,,,,,,,,,
Kepler-1146 b,,,,,,,,,
Kepler-1148 b,,,,,,,,,
Kepler-115 b,,,,,,,,,
Kepler-1150 b,,,,,,,,,
Kepler-1151 b,,,,,,,,,
Kepler-1152 b,,,,,,,,,
Kepler-1157 b,,,,,,,,,
Kepler-1161 b,,,,,,,,,
Kepler-1162 b,,,,,,,,,
Kepler-1162 c,,,,,,,,,
Kepler-1164 b,,,,,,,,,
Kepler-1166 b,,,,,,,,,
Kepler-1167 b,,,,,,,,,
Kepler-1170 b,,,,,,,,,
Kepler-1173 b,,,,,,,,,
Kepler-1178 b,,,,,,,,,
Kepler-1179 b,,,,,,,,,
Kepler-118 b,,,,,,,,,
Kepler-1185 b,,,,,,,,,
Kepler-119 b,,,,,,,,,
Kepler-119 c,,,,,,,,,
Kepler-1190 b,,,,,,,,,
Kepler-1191 b,,,,,,,,,
Kepler-1195 b,,,,,,,,,
Kepler-1197 b,,,,,,,,,
Kepler-1199 b,,,,,,,,,
Kepler-120 b,,,,,,,,,
Kepler-120 c,,,,,,,,,
Kepler-1200 b,,,,,,,,,
Kepler-1203 b,,,,,,,,,
Kepler-1205 b,,,,,,,,,
Kepler-1206 b,,,,,,,,,
Kepler-1208 b,,,,,,,,,
Kepler-121 b,,,,,,,,,
Kepler-121 c,,,,,,,,,
Kepler-1214 b,,,,,,,,,
Kepler-122 b,,,,,,,,,
Kepler-122 c,,,,,,,,,
Kepler-122 d,,,,,,,,,
Kepler-122 e,,,,,,,,,
Kepler-122 f,,,,,,,,,
Kepler-1222 b,,,,,,,,,
Kepler-1223 b,,,,,,,,,
Kepler-1228 b,,,,,,,,,
Kepler-1229 b,,,,,,,,,
Kepler-1234 b,,,,,,,,,
Kepler-1235 b,,,,,,,,,
Kepler-1236 b,,,,,,,,,
Kepler-124 b,,,,,,,,,
Kepler-124 c,,,,,,,,,
Kepler-124 d,,,,,,,,,
Kepler-1241 b,,,,,,,,,
Kepler-1242 b,,,,,,,,,
Kepler-1245 b,,,,,,,,,
Kepler-1245 c,,,,,,,,,
Kepler-1246 b,,,,,,,,,
Kepler-125 b,,,,,,,,,
Kepler-125 c,,,,,,,,,
Kepler-1253 b,,,,,,,,,
Kepler-1254 b,,,,,,,,,
Kepler-1254 c,,,,,,,,,
Kepler-1254 d,,,,,,,,,
Kepler-1259 b,,,,,,,,,
Kepler-126 b,,,,,,,,,
Kepler-126 c,,,,,,,,,
Kepler-126 d,,,,,,,,,
Kepler-1261 b,,,,,,,,,
Kepler-1263 b,,,,,,,,,
Kepler-1265 b,,,,,,,,,
Kepler-1266 b,,,,,,,,,
Kepler-1266 c,,,,,,,,,
Kepler-1277 b,,,,,,,,,
Kepler-1284 b,,,,,,,,,
Kepler-1291 b,,,,,,,,,
Kepler-130 b,,,,,,,,,
Kepler-130 c,,,,,,,,,
Kepler-130 d,,,,,,,,,
Kepler-1301 b,,,,,,,,,
Kepler-1302 b,,,,,,,,,
Kepler-1308 b,,,,,,,,,
Kepler-1309 b,,,,,,,,,
Kepler-131 b,,,,,,,,,
Kepler-131 c,,,,,,,,,
Kepler-1310 b,,,,,,,,,
Kepler-1311 b,,,,,,,,,
Kepler-1311 c,,,,,,,,,
Kepler-1312 b,,,,,,,,,
Kepler-1312 c,,,,,,,,,
Kepler-1313 b,,,,,,,,,
Kepler-1314 b,,,,,,,,,
Kepler-1315 b,,,,,,,,,
Kepler-1317 b,,,,,,,,,
Kepler-1318 b,,,,,,,,,
Kepler-1319 b,,,,,,,,,
Kepler-132 b,,,,,,,,,
Kepler-132 c,,,,,,,,,
Kepler-132 d,,,,,,,,,
Kepler-132 e,,,,,,,,,
Kepler-1320 b,,,,,,,,,
Kepler-1321 b,,,,,,,,,
Kepler-1321 c,,,,,,,,,
Kepler-1321 d,,,,,,,,,
Kepler-1322 b,,,,,,,,,
Kepler-1322 c,,,,,,,,,
Kepler-1324 b,,,,,,,,,
Kepler-1329 b,,,,,,,,,
Kepler-1331 b,,,,,,,,,
Kepler-1332 b,,,,,,,,,
Kepler-1335 b,,,,,,,,,
Kepler-1337 b,,,,,,,,,
Kepler-1339 b,,,,,,,,,
Kepler-134 b,,,,,,,,,
Kepler-134 c,,,,,,,,,
Kepler-1341 b,,,,,,,,,
Kepler-1347 b,,,,,,,,,
Kepler-1350 b,,,,,,,,,
Kepler-1350 c,,,,,,,,,
Kepler-1351 b,,,,,,,,,
Kepler-1353 b,,,,,,,,,
Kepler-1355 b,,,,,,,,,
Kepler-1356 b,,,,,,,,,
Kepler-1358 b,,,,,,,,,
Kepler-1359 b,,,,,,,,,
Kepler-1361 b,,,,,,,,,
Kepler-1362 b,,,,,,,,,
Kepler-1363 b,,,,,,,,,
Kepler-1365 b,,,,,,,,,
Kepler-1365 c,,,,,,,,,
Kepler-1366 b,,,,,,,,,
Kepler-1367 b,,,,,,,,,
Kepler-137 b,,,,,,,,,
Kepler-137 c,,,,,,,,,
Kepler-1371 b,,,,,,,,,
Kepler-1371 c,,,,,,,,,
Kepler-1374 b,,,,,,,,,
Kepler-1378 b,,,,,,,,,
Kepler-1379 b,,,,,,,,,
Kepler-138 b,,,,,,,,,
Kepler-138 c,,,,,,,,,
Kepler-138 d,,,,,,,,,
Kepler-138 e,,290.3814122,43.2930645,,,,,,
Kepler-1384 b,,,,,,,,,
Kepler-1387 b,,,,,,,,,
Kepler-1388 b,,,,,,,,,
Kepler-1388 c,,,,,,,,,
Kepler-1388 d,,,,,,,,,
Kepler-1388 e,,,,,,,,,
Kepler-1389 b,,,,,,,,,
Kepler-139 b,,,,,,,,,
Kepler-139 c,,,,,,,,,
Kepler-139 d,,,,,,,,,
Kepler-1393 b,,,,,,,,,
Kepler-1400 b,,,,,,,,,
Kepler-1404 b,,,,,,,,,
Kepler-1409 b,,,,,,,,,
Kepler-141 b,,,,,,,,,
Kepler-141 c,,,,,,,,,
Kepler-1410 b,,,,,,,,,
Kepler-1413 b,,,,,,,,,
Kepler-1414 b,,,,,,,,,
Kepler-1418 b,,,,,,,,,
Kepler-142 b,,,,,,,,,
Kepler-142 c,,,,,,,,,
Kepler-142 d,,,,,,,,,
Kepler-1420 b,,,,,,,,,
Kepler-1423 b,,,,,,,,,
Kepler-1430 b,,,,,,,,,
Kepler-1439 b,,,,,,,,,
Kepler-144 b,,,,,,,,,
Kepler-144 c,,,,,,,,,
Kepler-1446 b,,,,,,,,,
Kepler-1448 b,,,,,,,,,
Kepler-1450 b,,,,,,,,,
Kepler-1455 b,,,,,,,,,
Kepler-1456 b,,,,,,,,,
Kepler-1459 b,,,,,,,,,
Kepler-1460 b,,,,,,,,,
Kepler-1461 b,,,,,,,,,
Kepler-1465 b,,,,,,,,,
Kepler-1470 b,,,,,,,,,
Kepler-1471 b,,,,,,,,,
Kepler-1477 b,,,,,,,,,
Kepler-148 b,,,,,,,,,
Kepler-148 c,,,,,,,,,
Kepler-148 d,,,,,,,,,
Kepler-1480 b,,,,,,,,,
Kepler-1481 b,,,,,,,,,
Kepler-1482 b,,,,,,,,,
Kepler-1488 c,,,,,,,,,
Kepler-149 c,,,,,,,,,
Kepler-1492 b,,,,,,,,,
Kepler-1498 b,,,,,,,,,
Kepler-1499 b,,,,,,,,,
Kepler-150 b,,,,,,,,,
Kepler-150 c,,,,,,,,,
Kepler-150 d,,,,,,,,,
Kepler-150 e,,,,,,,,,
Kepler-150 f,,,,,,,,,
Kepler-1503 b,,,,,,,,,
Kepler-1505 b,,,,,,,,,
Kepler-1507 b,,,,,,,,,
Kepler-151 b,,,,,,,,,
Kepler-151 c,,,,,,,,,
Kepler-1512 b,,,,,,,,,
Kepler-1518 c,,,,,,,,,
Kepler-152 b,,,,,,,,,
Kepler-152 c,,,,,,,,,
Kepler-1520 b,,,,,,,,,
Kepler-1521 b,,,,,,,,,
Kepler-1526 b,,,,,,,,,
Kepler-1529 b,,,,,,,,,
Kepler-153 b,,,,,,,,,
Kepler-153 c,,,,,,,,,
Kepler-1530 b,,,,,,,,,
Kepler-1530 c,,,,,,,,,
Kepler-1530 d,,,,,,,,,
Kepler-1532 b,,,,,,,,,
Kepler-1536 b,,,,,,,,,
Kepler-1537 b,,,,,,,,,
Kepler-1539 b,,,,,,,,,
Kepler-154 b,,,,,,,,,
Kepler-154 c,,,,,,,,,
Kepler-154 d,,,,,,,,,
Kepler-154 e,,,,,,,,,
Kepler-154 f,,,,,,,,,
Kepler-1540 b,,,,,,,,,
Kepler-1541 b,,,,,,,,,
Kepler-1542 b,,,,,,,,,
Kepler-1542 c,,,,,,,,,
Kepler-1542 d,,,,,,,,,
Kepler-1542 e,,,,,,,,,
Kepler-1544 b,,,,,,,,,
Kepler-1545 b,,,,,,,,,
Kepler-155 b,,,,,,,,,
Kepler-155 c,,,,,,,,,
Kepler-1552 b,,,,,,,,,
Kepler-1553 b,,,,,,,,,
Kepler-1554 b,,,,,,,,,
Kepler-1558 b,,,,,,,,,
Kepler-1559 b,,,,,,,,,
Kepler-156 b,,,,,,,,,
Kepler-156 c,,,,,,,,,
Kepler-1565 b,,,,,,,,,
Kepler-1566 b,,,,,,,,,
Kepler-157 b,,,,,,,,,
Kepler-157 c,,,,,,,,,
Kepler-157 d,,,,,,,,,
Kepler-1577 b,,,,,,,,,
Kepler-1578 b,,,,,,,,,
Kepler-1579 b,,,,,,,,,
Kepler-158 b,,,,,,,,,
Kepler-158 c,,,,,,,,,
Kepler-1582 b,,,,,,,,,
Kepler-1583 b,,,,,,,,,
Kepler-159 b,,,,,,,,,
Kepler-159 c,,,,,,,,,
Kepler-1593 b,,,,,,,,,
Kepler-1595 b,,,,,,,,,
Kepler-16 b,,,,,,,,,
Kepler-160 b,,,,,,,,,
Kepler-160 c,,,,,,,,,
Kepler-1600 b,,,,,,,,,
Kepler-1600 c,,,,,,,,,
Kepler-1604 b,,,,,,,,,
Kepler-1605 b,,,,,,,,,
Kepler-1608 b,,,,,,,,,
Kepler-161 b,,,,,,,,,
Kepler-161 c,,,,,,,,,
Kepler-1610 b,,,,,,,,,
Kepler-1610 c,,,,,,,,,
Kepler-1614 b,,,,,,,,,
Kepler-162 b,,,,,,,,,
Kepler-1624 b,,,,,,,,,
Kepler-1627 b,,,,,,,,,
Kepler-1628 b,,,,,,,,,
Kepler-163 b,,,,,,,,,
Kepler-1630 b,,,,,,,,,
Kepler-164 b,,,,,,,,,
Kepler-164 c,,,,,,,,,
Kepler-164 d,,,,,,,,,
Kepler-164 e,,,,,,,,,
Kepler-1642 b,,,,,,,,,
Kepler-1642 c,,,,,,,,,
Kepler-1643 b,,,,,,,,,
Kepler-1644 b,,,,,,,,,
Kepler-1646 b,,,,,,,,,
Kepler-1649 b,,,,,,,,,
Kepler-1649 c,,,,,,,,,
Kepler-165 b,,,,,,,,,
Kepler-165 c,,,,,,,,,
Kepler-1650 b,,,,,,,,,
Kepler-1651 b,,,,,,,,,
Kepler-1652 b,,,,,,,,,
Kepler-1653 b,,,,,,,,,
Kepler-1655 b,,,,,,,,,
Kepler-166 b,,,,,,,,,
Kepler-166 c,,,,,,,,,
Kepler-166 d,,,,,,,,,
Kepler-1661 b,,,,,,,,,
Kepler-1663 b,,,,,,,,,
Kepler-1665 b,,,,,,,,,
Kepler-1669 b,,,,,,,,,
Kepler-1669 c,,,,,,,,,
Kepler-1669 d,,,,,,,,,
Kepler-167 b,,,,,,,,,
Kepler-167 c,,,,,,,,,
Kepler-167 d,,,,,,,,,
Kepler-167 e,,,,,,,,,
Kepler-1680 b,,,,,,,,,
Kepler-1684 b,,,,,,,,,
Kepler-1687 b,,,,,,,,,
Kepler-1688 b,,,,,,,,,
Kepler-1689 b,,,,,,,,,
Kepler-169 b,,,,,,,,,
Kepler-169 c,,,,,,,,,
Kepler-169 d,,,,,,,,,
Kepler-169 e,,,,,,,,,
Kepler-169 f,,,,,,,,,
Kepler-1693 b,,,,,,,,,
Kepler-1693 c,,,,,,,,,
Kepler-1694 b,,,,,,,,,
Kepler-1697 b,,,,,,,,,
Kepler-1698 b,,,,,,,,,
Kepler-1701 b,,,,,,,,,
Kepler-1702 b,,,,,,,,,
Kepler-171 b,,,,,,,,,
Kepler-171 c,,,,,,,,,
Kepler-171 d,,,,,,,,,
Kepler-1710 b,,,,,,,,,
Kepler-1712 b,,,,,,,,,
Kepler-1716 b,,,,,,,,,
Kepler-1718 b,,,,,,,,,
Kepler-172 b,,,,,,,,,
Kepler-172 c,,,,,,,,,
Kepler-172 d,,,,,,,,,
Kepler-172 e,,,,,,,,,
Kepler-1721 b,,,,,,,,,
Kepler-1722 b,,,,,,,,,
Kepler-1726 b,,,,,,,,,
Kepler-1727 b,,,,,,,,,
Kepler-1729 b,,,,,,,,,
Kepler-173 b,,,,,,,,,
Kepler-173 c,,,,,,,,,
Kepler-1731 b,,,,,,,,,
Kepler-1735 b,,,,,,,,,
Kepler-1739 b,,,,,,,,,
Kepler-174 b,,,,,,,,,
Kepler-174 c,,,,,,,,,
Kepler-174 d,,,,,,,,,
Kepler-1741 b,,,,,,,,,
Kepler-1742 b,,,,,,,,,
Kepler-1744 b,,,,,,,,,
Kepler-1749 b,,,,,,,,,
Kepler-1752 b,,,,,,,,,
Kepler-1753 b,,,,,,,,,
Kepler-1754 b,,,,,,,,,
Kepler-1757 b,,,,,,,,,
Kepler-1759 b,,,,,,,,,
Kepler-176 b,,,,,,,,,
Kepler-176 c,,,,,,,,,
Kepler-176 d,,,,,,,,,
Kepler-176 e,,,,,,,,,
Kepler-1761 b,,,,,,,,,
Kepler-1766 b,,,,,,,,,
Kepler-178 b,,,,,,,,,
Kepler-178 c,,,,,,,,,
Kepler-178 d,,,,,,,,,
Kepler-1782 b,,,,,,,,,
Kepler-1783 b,,,,,,,,,
Kepler-1788 b,,,,,,,,,
Kepler-179 b,,,,,,,,,
Kepler-179 c,,,,,,,,,
Kepler-1794 b,,,,,,,,,
Kepler-1798 b,,,,,,,,,
Kepler-18 b,,,,,,,,,
Kepler-18 c,,,,,,,,,
Kepler-18 d,,,,,,,,,
Kepler-180 b,,,,,,,,,
Kepler-180 c,,,,,,,,,
Kepler-1801 b,,,,,,,,,
Kepler-1801 c,,,,,,,,,
Kepler-1802 b,,,,,,,,,
Kepler-1802 c,,,,,,,,,
Kepler-1804 b,,,,,,,,,
Kepler-1805 b,,,,,,,,,
Kepler-1808 b,,,,,,,,,
Kepler-1809 b,,,,,,,,,
Kepler-181 b,,,,,,,,,
Kepler-181 c,,,,,,,,,
Kepler-1814 b,,,,,,,,,
Kepler-1814 c,,,,,,,,,
Kepler-1816 b,,,,,,,,,
Kepler-1822 b,,,,,,,,,
Kepler-1825 b,,,,,,,,,
Kepler-1826 b,,,,,,,,,
Kepler-1829 b,,,,,,,,,
Kepler-1832 b,,,,,,,,,
Kepler-1834 b,,,,,,,,,
Kepler-1834 c,,,,,,,,,
Kepler-184 b,,,,,,,,,
Kepler-184 c,,,,,,,,,
Kepler-184 d,,,,,,,,,
Kepler-1840 b,,,,,,,,,
Kepler-1841 b,,,,,,,,,
Kepler-1845 b,,,,,,,,,
Kepler-1846 b,,,,,,,,,
Kepler-1848 b,,,,,,,,,
Kepler-1849 b,,,,,,,,,
Kepler-185 b,,,,,,,,,
Kepler-185 c,,,,,,,,,
Kepler-1850 b,,,,,,,,,
Kepler-1853 b,,,,,,,,,
Kepler-1854 b,,,,,,,,,
Kepler-1856 b,,,,,,,,,
Kepler-1857 b,,,,,,,,,
Kepler-186 b,,,,,,,,,
Kepler-186 c,,,,,,,,,
Kepler-186 d,,,,,,,,,
Kepler-186 e,,,,,,,,,
Kepler-186 f,,,,,,,,,
Kepler-1860 b,,,,,,,,,
Kepler-1865 b,,,,,,,,,
Kepler-1867 b,,,,,,,,,
Kepler-1868 b,,,,,,,,,
Kepler-1869 b,,,,,,,,,
Kepler-1869 c,,,,,,,,,
Kepler-1874 b,,,,,,,,,
Kepler-1880 b,,,,,,,,,
Kepler-1888 b,,,,,,,,,
Kepler-189 b,,,,,,,,,
Kepler-189 c,,,,,,,,,
Kepler-1890 b,,,,,,,,,
Kepler-1891 b,,,,,,,,,
Kepler-1892 b,,,,,,,,,
Kepler-1894 b,,,,,,,,,
Kepler-1894 c,,,,,,,,,
Kepler-1898 b,,,,,,,,,
Kepler-1899 b,,,,,,,,,
Kepler-19 b,,,,,,,,,
Kepler-19 c,,,,,,,,,
Kepler-190 b,,,,,,,,,
Kepler-190 c,,,,,,,,,
Kepler-1902 b,,,,,,,,,
Kepler-1904 b,,,,,,,,,
Kepler-1907 b,,,,,,,,,
Kepler-1907 c,,,,,,,,,
Kepler-1909 b,,,,,,,,,
Kepler-191 b,,,,,,,,,
Kepler-191 c,,,,,,,,,
Kepler-191 d,,,,,,,,,
Kepler-1911 b,,,,,,,,,
Kepler-1917 b,,,,,,,,,
Kepler-192 d,,,,,,,,,
Kepler-1926 b,,,,,,,,,
Kepler-1930 b,,,,,,,,,
Kepler-1934 b,,,,,,,,,
Kepler-1935 b,,,,,,,,,
Kepler-1938 b,,,,,,,,,
Kepler-1939 b,,,,,,,,,
Kepler-1940 b,,,,,,,,,
Kepler-1942 b,,,,,,,,,
Kepler-1947 b,,,,,,,,,
Kepler-1948 b,,,,,,,,,
Kepler-195 b,,,,,,,,,
Kepler-195 c,,,,,,,,,
Kepler-1950 b,,,,,,,,,
Kepler-1952 b,,,,,,,,,
Kepler-1953 b,,,,,,,,,
Kepler-1956 b,,,,,,,,,
Kepler-1957 b,,,,,,,,,
Kepler-1959 b,,,,,,,,,
Kepler-196 b,,,,,,,,,
Kepler-196 c,,,,,,,,,
Kepler-196 d,,,,,,,,,
Kepler-1961 b,,,,,,,,,
Kepler-1963 b,,,,,,,,,
Kepler-1965 b,,,,,,,,,
Kepler-1966 b,,,,,,,,,
Kepler-197 b,,,,,,,,,
Kepler-197 c,,,,,,,,,
Kepler-197 d,,,,,,,,,
Kepler-197 e,,,,,,,,,
Kepler-1977 b,,,,,,,,,
Kepler-1978 b,,,,,,,,,
Kepler-198 b,,,,,,,,,
Kepler-198 c,,,,,,,,,
Kepler-198 d,,,,,,,,,
Kepler-1983 b,,,,,,,,,
Kepler-1986 b,,,,,,,,,
Kepler-1987 b,,,,,,,,,
Kepler-1987 c,,,,,,,,,
Kepler-1987 d,,,,,,,,,
Kepler-1987 e,,,,,,,,,
Kepler-199 b,,,,,,,,,
Kepler-199 c,,,,,,,,,
Kepler-1991 b,,,,,,,,,
Kepler-1992 b,,,,,,,,,
Kepler-1994 b,,,,,,,,,
Kepler-1996 b,,,,,,,,,
Kepler-1996 c,,,,,,,,,
Kepler-1998 b,,,,,,,,,
Kepler-1999 b,,,,,,,,,
Kepler-20 b,,,,,,,,,
Kepler-20 c,,,,,,,,,
Kepler-20 d,,,,,,,,,
